timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1747539609448,30710,Fluxo - GET > POST > GET(id) > PUT(id) > GET(id) > DELETE(id),200,,Usuários 1-1,,true,,711,155,5,5,null,0,0,0
1747539629506,10653, GET > https://serverest.dev/usuarios,200,OK,Usuários 1-1,text,true,,711,155,5,5,https://serverest.dev/usuarios,10646,0,546
1747539609448,10653,GET returnar todos usuários,200,"Number of samples in transaction : 1, number of failing samples : 0",Usuários 1-1,,true,,711,155,5,5,null,10646,20059,546
1747539615448,24921,Fluxo - GET > POST > GET(id) > PUT(id) > GET(id) > DELETE(id),200,,Usuários 1-4,,true,,707,155,4,4,null,0,0,0
1747539635453,4915, GET > https://serverest.dev/usuarios,200,OK,Usuários 1-4,text,true,,707,155,4,4,https://serverest.dev/usuarios,4914,0,145
1747539615448,4915,GET returnar todos usuários,200,"Number of samples in transaction : 1, number of failing samples : 0",Usuários 1-4,,true,,707,155,4,4,null,4914,20006,145
1747539611439,28929,Fluxo - GET > POST > GET(id) > PUT(id) > GET(id) > DELETE(id),200,,Usuários 1-2,,true,,707,155,4,4,null,0,0,0
1747539631455,8914, GET > https://serverest.dev/usuarios,200,OK,Usuários 1-2,text,true,,707,155,4,4,https://serverest.dev/usuarios,8914,0,149
1747539611439,8914,GET returnar todos usuários,200,"Number of samples in transaction : 1, number of failing samples : 0",Usuários 1-2,,true,,707,155,4,4,null,8914,20016,149
1747539617439,22941,Fluxo - GET > POST > GET(id) > PUT(id) > GET(id) > DELETE(id),200,,Usuários 1-5,,true,,707,155,2,2,null,0,0,0
1747539637440,2939, GET > https://serverest.dev/usuarios,200,OK,Usuários 1-5,text,true,,707,155,2,2,https://serverest.dev/usuarios,2939,0,141
1747539617439,2939,GET returnar todos usuários,200,"Number of samples in transaction : 1, number of failing samples : 0",Usuários 1-5,,true,,707,155,2,2,null,2939,20003,141
1747539613440,27492,Fluxo - GET > POST > GET(id) > PUT(id) > GET(id) > DELETE(id),200,,Usuários 1-3,,true,,707,155,1,1,null,0,0,0
1747539633443,7490, GET > https://serverest.dev/usuarios,200,OK,Usuários 1-3,text,true,,707,155,1,1,https://serverest.dev/usuarios,7490,0,151
1747539613440,7490,GET returnar todos usuários,200,"Number of samples in transaction : 1, number of failing samples : 0",Usuários 1-3,,true,,707,155,1,1,null,7490,20004,151
1747540056144,682,GET returnar todos usuários,200,"Number of samples in transaction : 1, number of failing samples : 0",Usuários 1-1,,true,,711,155,5,5,null,676,20067,469
1747540056144,20748,Fluxo - GET > POST > GET(id) > PUT(id) > GET(id) > DELETE(id),200,,Usuários 1-1,,true,,711,155,5,5,null,0,0,0
1747540076209,682, GET > https://serverest.dev/usuarios,200,OK,Usuários 1-1,text,true,,711,155,5,5,https://serverest.dev/usuarios,676,0,469
1747540076896,0,POST cadastrar usuário - sucesso ,200,"Number of samples in transaction : 1, number of failing samples : 0",,,true,,0,0,0,0,null,0,1,0
1747540058135,308,GET returnar todos usuários,200,"Number of samples in transaction : 1, number of failing samples : 0",Usuários 1-2,,true,,707,155,4,4,null,308,20003,139
1747540058135,20311,Fluxo - GET > POST > GET(id) > PUT(id) > GET(id) > DELETE(id),200,,Usuários 1-2,,true,,707,155,4,4,null,0,0,0
1747540078138,308, GET > https://serverest.dev/usuarios,200,OK,Usuários 1-2,text,true,,707,155,4,4,https://serverest.dev/usuarios,308,0,139
1747540078447,0,POST cadastrar usuário - sucesso ,200,"Number of samples in transaction : 1, number of failing samples : 0",,,true,,0,0,0,0,null,0,0,0
1747540060134,300,GET returnar todos usuários,200,"Number of samples in transaction : 1, number of failing samples : 0",Usuários 1-3,,true,,707,155,3,3,null,300,20005,135
1747540060134,20305,Fluxo - GET > POST > GET(id) > PUT(id) > GET(id) > DELETE(id),200,,Usuários 1-3,,true,,707,155,3,3,null,0,0,0
1747540080139,300, GET > https://serverest.dev/usuarios,200,OK,Usuários 1-3,text,true,,707,155,3,3,https://serverest.dev/usuarios,300,0,135
1747540080439,0,POST cadastrar usuário - sucesso ,200,"Number of samples in transaction : 1, number of failing samples : 0",,,true,,0,0,0,0,null,0,5,0
1747540062133,318,GET returnar todos usuários,200,"Number of samples in transaction : 1, number of failing samples : 0",Usuários 1-4,,true,,707,155,2,2,null,318,20014,142
1747540062133,20332,Fluxo - GET > POST > GET(id) > PUT(id) > GET(id) > DELETE(id),200,,Usuários 1-4,,true,,707,155,2,2,null,0,0,0
1747540082147,318, GET > https://serverest.dev/usuarios,200,OK,Usuários 1-4,text,true,,707,155,2,2,https://serverest.dev/usuarios,318,0,142
1747540082465,0,POST cadastrar usuário - sucesso ,200,"Number of samples in transaction : 1, number of failing samples : 0",,,true,,0,0,0,0,null,0,0,0
1747540064133,311,GET returnar todos usuários,200,"Number of samples in transaction : 1, number of failing samples : 0",Usuários 1-5,,true,,707,155,1,1,null,311,20007,134
1747540064133,20318,Fluxo - GET > POST > GET(id) > PUT(id) > GET(id) > DELETE(id),200,,Usuários 1-5,,true,,707,155,1,1,null,0,0,0
1747540084140,311, GET > https://serverest.dev/usuarios,200,OK,Usuários 1-5,text,true,,707,155,1,1,https://serverest.dev/usuarios,311,0,134
1747540084452,0,POST cadastrar usuário - sucesso ,200,"Number of samples in transaction : 1, number of failing samples : 0",,,true,,0,0,0,0,null,0,0,0
